Date,Close
2/12/2014,82
2/13/2014,82.55
2/14/2014,81.21
2/18/2014,83.81
2/19/2014,82.7
2/20/2014,82.81
2/21/2014,82.59
2/24/2014,83.57
2/25/2014,83.95
2/26/2014,83.81
2/27/2014,83.65
2/28/2014,82.79
3/3/2014,81.45
3/4/2014,82.94
3/5/2014,82.87
3/6/2014,79.92
3/7/2014,79.58
3/10/2014,80.23
3/11/2014,79.84
3/12/2014,79.72
3/13/2014,78.01
3/14/2014,75.05
3/17/2014,75.45
3/18/2014,77.77
3/19/2014,76.54
3/20/2014,75.53
3/21/2014,72.07
3/24/2014,72.13
3/25/2014,73.03
3/26/2014,72.78
3/27/2014,71.41
3/28/2014,68.55
3/31/2014,70.86
4/1/2014,73.64
4/2/2014,73.96
4/3/2014,74
4/4/2014,72.2
4/7/2014,72.23
4/8/2014,70.01
4/9/2014,70.65
4/10/2014,65.48
4/11/2014,66.03
4/14/2014,66.79
4/15/2014,68.17
4/16/2014,69.28
4/17/2014,70
4/21/2014,71.6
4/22/2014,72.86
4/23/2014,73.86
4/24/2014,74.08
4/25/2014,73.9
4/28/2014,74.08
4/29/2014,76.24
4/30/2014,78.49
5/1/2014,79.02
5/2/2014,77.71
5/5/2014,79.83
5/6/2014,78.32
5/7/2014,78.77
5/8/2014,78.73
5/9/2014,79.76
5/12/2014,80.35
5/13/2014,80.3
5/14/2014,80.97
5/15/2014,80.1
5/16/2014,80.8
5/19/2014,82.05
5/20/2014,81.14
5/21/2014,81.81
5/22/2014,82.9
5/23/2014,80.94
5/27/2014,82.16
5/28/2014,81.86
5/29/2014,82.08
5/30/2014,81.21
6/2/2014,81.55
6/3/2014,82.55
6/4/2014,83.02
6/5/2014,82.8
6/6/2014,82.39
6/9/2014,79.01
6/10/2014,79.54
6/11/2014,80.82
6/12/2014,80.58
6/13/2014,80.72
6/16/2014,80.77
6/17/2014,79.79
6/18/2014,79.47
6/19/2014,79.78
6/20/2014,81.2
6/23/2014,80.8
6/24/2014,80.81
6/25/2014,81.8
6/26/2014,82.18
6/27/2014,82.94
6/30/2014,82.91
7/1/2014,85.29
7/2/2014,87.1
7/3/2014,87.9
7/7/2014,87.21
7/8/2014,87.11
7/9/2014,88.68
7/10/2014,88.94
7/11/2014,88.73
7/14/2014,89.85
7/15/2014,89
7/16/2014,87
7/17/2014,85.07
7/18/2014,89.19
7/21/2014,88.86
7/22/2014,89.33
7/23/2014,90.34
7/24/2014,90.54
7/25/2014,89.84
7/28/2014,91.46
7/29/2014,92.99
7/30/2014,93.79
7/31/2014,91.55
8/1/2014,91.5
8/4/2014,92.18
8/5/2014,92.27
8/6/2014,92.79
8/7/2014,92.05
8/8/2014,92.45
8/11/2014,92.92
8/12/2014,93.36
8/13/2014,93.98
8/14/2014,96.36
8/15/2014,99.49
8/18/2014,100.72
8/19/2014,101.28
8/20/2014,100.79
8/21/2014,102.27
8/22/2014,103.96
8/25/2014,107.45
8/26/2014,106.27
8/27/2014,107.41
8/28/2014,107.51
8/29/2014,107.56
9/2/2014,109.36
9/3/2014,109.43
9/4/2014,106.86
9/5/2014,105.36
9/8/2014,106.53
9/9/2014,105.89
9/10/2014,108.22
9/11/2014,106.39
9/12/2014,103.66
9/15/2014,100.99
9/16/2014,104.76
9/17/2014,103.84
9/18/2014,105.93
9/19/2014,105.96
9/22/2014,105.47
9/23/2014,105.39
9/24/2014,108.71
9/25/2014,107.34
9/26/2014,108.38
9/29/2014,107.51
9/30/2014,106.45
10/1/2014,105.59
10/2/2014,104.56
10/3/2014,106.52
10/6/2014,105.13
10/7/2014,104.29
10/8/2014,108.87
10/9/2014,105.85
10/10/2014,103.73
10/13/2014,101.44
10/14/2014,97.18
10/15/2014,96.16
10/16/2014,96.88
10/17/2014,100.75
10/20/2014,102.21
