Date,Close
2/12/2014,63.79
2/13/2014,64.44
2/14/2014,65.28
2/18/2014,64.49
2/19/2014,64.4
2/20/2014,64.65
2/21/2014,64.97
2/24/2014,65.35
2/25/2014,65.27
2/26/2014,65.24
2/27/2014,64.97
2/28/2014,65.15
3/3/2014,64.32
3/4/2014,65.22
3/5/2014,65.46
3/6/2014,66.13
3/7/2014,66.85
3/10/2014,66.14
3/11/2014,66.37
3/12/2014,67.63
3/13/2014,66.75
3/14/2014,66.88
3/17/2014,67.78
3/18/2014,68.55
3/19/2014,68.6
3/20/2014,69.94
3/21/2014,70.02
3/24/2014,69.58
3/25/2014,69.81
3/26/2014,68.99
3/27/2014,68.5
3/28/2014,68.75
3/31/2014,69.14
4/1/2014,70.02
4/2/2014,70.89
4/3/2014,71.22
4/4/2014,69.4
4/7/2014,68.81
4/8/2014,68.03
4/9/2014,68.87
4/10/2014,66.68
4/11/2014,65.5
4/14/2014,65.91
4/15/2014,66.15
4/16/2014,65.78
4/17/2014,66.11
4/21/2014,66.4
4/22/2014,66.76
4/23/2014,66.72
4/24/2014,67.74
4/25/2014,62.91
4/28/2014,63.45
4/29/2014,64.27
4/30/2014,63.99
5/1/2014,62.92
5/2/2014,63.2
5/5/2014,62.71
5/6/2014,62.3
5/7/2014,62.9
5/8/2014,62.59
5/9/2014,63.11
5/12/2014,64.12
5/13/2014,63.1
5/14/2014,62.99
5/15/2014,62.38
5/16/2014,63.15
5/19/2014,63.67
5/20/2014,63.22
5/21/2014,63.56
5/22/2014,63.64
5/23/2014,64.18
5/27/2014,65.24
5/28/2014,65.42
5/29/2014,65.65
5/30/2014,65.52
6/2/2014,65.58
6/3/2014,65.85
6/4/2014,66.25
6/5/2014,66.45
6/6/2014,66.97
6/9/2014,68.02
6/10/2014,68.11
6/11/2014,68.12
6/12/2014,67.85
6/13/2014,68.57
6/16/2014,68.7
6/17/2014,69.14
6/18/2014,69.04
6/19/2014,68.92
6/20/2014,70
6/23/2014,70.31
6/24/2014,69.44
6/25/2014,69.8
6/26/2014,69.96
6/27/2014,70.97
6/30/2014,72.64
7/1/2014,73.07
7/2/2014,73.24
7/3/2014,74.62
7/7/2014,74.03
7/8/2014,74.09
7/9/2014,74.86
7/10/2014,74.72
7/11/2014,74.61
7/14/2014,74.9
7/15/2014,74.23
7/16/2014,74.12
7/17/2014,74.01
7/18/2014,74.5
7/21/2014,74.62
7/22/2014,74.52
7/23/2014,73.26
7/24/2014,73.02
7/25/2014,71.6
7/28/2014,71.83
7/29/2014,71.4
7/30/2014,71.89
7/31/2014,71.49
8/1/2014,71.63
8/4/2014,72.17
8/5/2014,71.6
8/6/2014,71.88
8/7/2014,71.63
8/8/2014,72.34
8/11/2014,72.6
8/12/2014,72.82
8/13/2014,72.93
8/14/2014,73.04
8/15/2014,74.07
8/18/2014,74.37
8/19/2014,74.96
8/20/2014,74.7
8/21/2014,75.14
8/22/2014,74.98
8/25/2014,75.51
8/26/2014,75.97
8/27/2014,76.43
8/28/2014,76.33
8/29/2014,76.42
9/2/2014,77.15
9/3/2014,77.72
9/4/2014,77.6
9/5/2014,78.31
9/8/2014,78.65
9/9/2014,78.57
9/10/2014,78.67
9/11/2014,78.64
9/12/2014,78.28
9/15/2014,77.33
9/16/2014,78.28
9/17/2014,79.57
9/18/2014,80.86
9/19/2014,80.77
9/22/2014,80.09
9/23/2014,80
9/24/2014,80.52
9/25/2014,79.53
9/26/2014,80.06
9/29/2014,79.85
9/30/2014,78.78
10/1/2014,76.54
10/2/2014,76.65
10/3/2014,76.25
10/6/2014,76
10/7/2014,75.51
10/8/2014,75.84
10/9/2014,73.65
10/10/2014,68.07
10/13/2014,65.61
10/14/2014,66.42
10/15/2014,67.46
10/16/2014,68.23
10/17/2014,68.44
10/20/2014,69.56
10/21/2014,71.38
10/22/2014,70.3
10/23/2014,71
10/24/2014,75.9
10/27/2014,75.06
10/28/2014,76.1
10/29/2014,76.3
10/30/2014,76.36
10/31/2014,79.15
11/3/2014,79.95
11/4/2014,80.03
11/5/2014,81.28
11/6/2014,80.83
11/7/2014,80
11/10/2014,80.51
11/11/2014,80.19
11/12/2014,79.73
11/13/2014,79.44
11/14/2014,80.33
11/17/2014,79.02
11/18/2014,80.71
11/19/2014,81.01
11/20/2014,80.69
11/21/2014,81.52
11/24/2014,83.71
11/25/2014,84.18
11/26/2014,67.33
11/28/2014,69.44
12/1/2014,68.86
12/2/2014,68.84
12/3/2014,71.02
12/4/2014,70.33
12/5/2014,70.66
12/8/2014,69.56
12/9/2014,69.88
12/10/2014,69.13
12/11/2014,69.15
12/12/2014,68.63
12/15/2014,67.36
12/16/2014,66.72
12/17/2014,67.75
12/18/2014,69.58
12/19/2014,69.72
12/22/2014,72.16
12/23/2014,72.63
12/24/2014,72.02
12/26/2014,71.85
12/29/2014,71.64
12/30/2014,71.19
12/31/2014,70.32
1/2/2015,70.29
1/5/2015,68.72
1/6/2015,66.69
1/7/2015,67.8
1/8/2015,68.93
1/9/2015,69.17
1/12/2015,67.09
1/13/2015,65.99
1/14/2015,65.55
1/15/2015,66.87
1/16/2015,67.83
1/20/2015,68.91
1/21/2015,69.41
1/22/2015,70.95
1/23/2015,65.24
1/26/2015,65.44
1/27/2015,63.34
1/28/2015,62.76
1/29/2015,63.39
1/30/2015,61.47
2/2/2015,61.87
2/3/2015,63.47
2/4/2015,63.16
2/5/2015,63.27
2/6/2015,62.61
2/9/2015,62.21
2/10/2015,63.81
2/11/2015,63.96
2/12/2015,63.87
2/13/2015,63.64
2/17/2015,63.93
2/18/2015,64.29
2/19/2015,64.66
2/20/2015,64.97
2/23/2015,64.47
2/24/2015,66.28
2/25/2015,65.88
2/26/2015,65.51
2/27/2015,64.96
3/2/2015,65.7
3/3/2015,63.9
3/4/2015,63.15
3/5/2015,62.23
3/6/2015,61.06
3/9/2015,61.37
3/10/2015,60.15
3/11/2015,60.28
3/12/2015,60.41
3/13/2015,60.71
3/16/2015,61.92
3/17/2015,61.38
3/18/2015,61.79
3/19/2015,62.23
3/20/2015,63.54
3/23/2015,63.27
3/24/2015,62.97
3/25/2015,59.37
3/26/2015,58.43
3/27/2015,59
3/30/2015,59.41
3/31/2015,58.29
4/1/2015,57.75
4/2/2015,58.09
4/6/2015,58.14
4/7/2015,57.76
4/8/2015,58.05
4/9/2015,58.94
4/10/2015,59.12
4/13/2015,59
4/14/2015,59.36
4/15/2015,60.04
4/16/2015,59.33
4/17/2015,58
4/20/2015,58.56
4/21/2015,59.34
4/22/2015,60.3
4/23/2015,59.85
4/24/2015,58.89
4/27/2015,59.48
4/28/2015,59.77
4/29/2015,59.26
4/30/2015,58.8
5/1/2015,60.09
5/4/2015,60.29
5/5/2015,58.49
5/6/2015,58.26
5/7/2015,58.86
5/8/2015,59.8
5/11/2015,59.61
5/12/2015,58.73
5/13/2015,58.88
5/14/2015,59.35
5/15/2015,59.91
5/18/2015,59.73
5/19/2015,59.08
5/20/2015,59.08
5/21/2015,59.16
5/22/2015,59.12
5/26/2015,58.25
5/27/2015,59.98
5/28/2015,60.27
5/29/2015,59.66
6/1/2015,59.79
6/2/2015,59.35
6/3/2015,58.64
6/4/2015,57.25
6/5/2015,56.97
6/8/2015,55.97
6/9/2015,55.65
6/10/2015,56.16
6/11/2015,56.48
6/12/2015,55.89
6/15/2015,56.43
6/16/2015,57.2
6/17/2015,57.13
6/18/2015,58.21
6/19/2015,57.99
6/22/2015,58.21
6/23/2015,57.28
6/24/2015,57.21
6/25/2015,57.34
6/26/2015,57.15
6/29/2015,55.76
6/30/2015,56.21
7/1/2015,56.79
7/2/2015,57.26
7/6/2015,56.18
